id,panas_type,mean_mu,mean_s,mean_vmu,mean5_mu,mean5_s,mean5_vmu,mean10_mu,mean10_s,mean10_vmu,mean5_kmu,mean10_kmu,mean5_vs,mean10_vs,last_mu,last_s,last_vmu
1,posminusneg_noCloseResponse,0.554579591191005,-1.32263815558176,-3.64710863616948,0.534106182413629,-1.21622005447018,-4.50078492786987,0.533165811107644,-1.247820971589,-4.52027741662803,-5.26635485242362,-5.25686763352412,-4.52881446180412,-4.44677812870375,0.540613846371321,-1.19709874528341,-4.52231105149606
2,posminusneg_noCloseResponse,0.5202204950972,-1.54119576300581,-4.00934635504817,0.505888968239424,-1.42596599189172,-3.73972003336967,0.502770776475474,-1.35701823484797,-3.84308713618855,-5.3254393962447,-5.29608784182746,-4.01613194562042,-4.10719120625305,0.507762378162946,-1.46047739282628,-3.69417397730443
3,posminusneg_noCloseResponse,0.651474722421581,-1.90403559910983,-2.31448128779737,0.666424717509196,-2.16513134648884,-1.98276020309221,0.641008107893391,-2.0462641561769,-2.13699107700371,-5.63643150227053,-5.4733149228604,-4.08432529834364,-4.18603435939384,0.672410394896484,-2.30022841490694,-1.92252343966552
4,posminusneg_noCloseResponse,0.727662661848795,-2.14062441202862,-4.48220426276682,0.731280323652635,-2.10100612343132,-4.7214463068572,0.731148370105411,-2.13970338200533,-4.72075244049965,-5.30010335626695,-5.28268469452637,-3.91958294943382,-3.73899989619756,0.731089724732912,-2.12274535014858,-4.73632483133941
5,posminusneg_noCloseResponse,0.629649389243733,-1.5786510885919,-3.19090233682114,0.605978627059062,-1.72743349694724,-4.43280893515309,0.611307064801791,-1.623807678666,-4.25258228294025,-2.91199261023989,-3.17184409731382,-2.49940149746383,-2.19819492915887,0.607289013294475,-1.70700894603413,-4.43132152338201
6,posminusneg_noCloseResponse,0.596207302441472,-1.89515493550324,-2.22647819043955,0.551003487996958,-2.39655780729961,-1.8287975215476,0.562329877188147,-2.21702046601435,-2.13353082393658,-5.81656824512883,-5.67164668549411,-3.70128708288518,-3.76484485856357,0.594763788780659,-2.34010197058562,-1.890025556215
7,posminusneg_noCloseResponse,0.490342579560234,-1.63575721522487,-2.63803338768232,0.469289488687991,-1.47993761661093,-4.48836887521836,0.468080916327279,-1.47156696262954,-4.4805820145861,-5.31250464917607,-5.29845692559425,-4.57788619627037,-4.55810727632131,0.475668214174718,-1.50436771296064,-4.24652698917738
8,posminusneg_noCloseResponse,0.580275420480606,-1.36451938513953,-2.76183157500932,0.613240160661907,-0.99757829998843,-4.34354353551101,0.601139578412338,-0.989176454909152,-4.21759320370581,-5.1698241437102,-5.05252432319597,-4.32250229313573,-4.25194665947881,0.612804035061621,-1.02655110873133,-4.33879828704283
9,posminusneg_noCloseResponse,0.654779758738525,-1.53743665857931,-2.93558901802453,0.671733813362409,-1.28958841179643,-4.6776181616817,0.673967716626309,-1.28488071381743,-4.61149775289217,-5.28020999837259,-5.21593031644645,-4.48534107405387,-4.43158364844804,0.671159581679782,-1.29961035184213,-4.69926872143745
10,posminusneg_noCloseResponse,0.56678778915917,-1.93978929304261,-3.35283155881197,0.544559536715342,-1.66265296253214,-4.35416182136856,0.544301381517274,-1.70932037465157,-4.34501578151147,-5.189247156316,-5.18543303250708,-3.12571004024807,-3.0418578245777,0.539503731032984,-1.7198063583221,-4.52572968795571
