subject,Local.Date.D1,wof_order,wofoutcome1,Local.Date.D2,wofoutcome2,Local.Date.D1.Day,Local.Date.D2.Day,day_diff
19,2021-01-26T14:32:26Z,Winsec,0,2021-01-27T10:19:38Z,1,2021-01-26,2021-01-27,1
177,2021-01-26T11:30:05Z,Winsec,0,2021-01-26T15:43:36Z,1,2021-01-26,2021-01-26,0
187,2021-01-26T10:18:05Z,Winfirst,1,2021-01-26T13:46:01Z,0,2021-01-26,2021-01-26,0
54,2021-01-25T22:12:08Z,Winfirst,1,2021-01-26T19:55:37Z,0,2021-01-25,2021-01-26,1
200,2021-01-25T21:31:50Z,Winsec,0,2021-01-26T15:24:54Z,1,2021-01-25,2021-01-26,1
68,2021-01-25T19:12:19Z,Winsec,0,2021-01-26T18:13:21Z,1,2021-01-25,2021-01-26,1
254,2021-01-25T19:49:20Z,Winfirst,1,2021-01-26T17:29:19Z,0,2021-01-25,2021-01-26,1
90,2021-01-25T19:33:31Z,Winfirst,1,2021-01-26T15:02:22Z,0,2021-01-25,2021-01-26,1
80,2021-01-25T19:08:49Z,Winsec,0,2021-01-26T14:25:21Z,1,2021-01-25,2021-01-26,1
224,2021-01-25T17:52:40Z,Winsec,0,2021-01-26T13:42:36Z,1,2021-01-25,2021-01-26,1
87,2021-01-25T19:45:17Z,Winsec,0,2021-01-26T15:56:04Z,1,2021-01-25,2021-01-26,1
18,2021-01-25T17:29:39Z,Winsec,0,2021-01-26T15:04:59Z,1,2021-01-25,2021-01-26,1
125,2021-01-25T17:26:50Z,Winsec,0,2021-01-26T14:18:40Z,1,2021-01-25,2021-01-26,1
122,2021-01-25T17:24:58Z,Winsec,0,2021-01-26T14:01:29Z,1,2021-01-25,2021-01-26,1
53,2021-01-25T18:23:11Z,Winsec,0,2021-01-26T18:27:58Z,1,2021-01-25,2021-01-26,1
191,2021-01-25T11:22:44Z,Winsec,0,2021-01-26T17:30:28Z,1,2021-01-25,2021-01-26,1
123,2021-01-25T19:08:43Z,Winfirst,1,2021-01-26T16:18:10Z,0,2021-01-25,2021-01-26,1
84,2021-01-25T18:07:15Z,Winsec,0,2021-01-26T17:42:39Z,1,2021-01-25,2021-01-26,1
263,2021-01-25T17:10:56Z,Winsec,0,2021-01-26T14:08:42Z,1,2021-01-25,2021-01-26,1
96,2021-01-25T18:02:23Z,Winfirst,1,2021-01-26T16:35:35Z,0,2021-01-25,2021-01-26,1
284,2020-12-17T14:42:42Z,Winfirst,1,2020-12-18T12:00:06Z,0,2020-12-17,2020-12-18,1
