subject,day1_block1_AR1,day1_block1_LOGSIGMA,day1_block1_SIGMA,day1_block1_LOGVAR,day1_block1_VAR,day1_block1_MEAN,day1_block2_AR1,day1_block2_LOGSIGMA,day1_block2_SIGMA,day1_block2_LOGVAR,day1_block2_VAR,day1_block2_MEAN,day2_block1_AR1,day2_block1_LOGSIGMA,day2_block1_SIGMA,day2_block1_LOGVAR,day2_block1_VAR,day2_block1_MEAN,day2_block2_AR1,day2_block2_LOGSIGMA,day2_block2_SIGMA,day2_block2_LOGVAR,day2_block2_VAR,day2_block2_MEAN
1,0.5285659301368448,0.5874794686899654,1.799447131741989,1.1749589373799307,3.23800997993447,0.49226177126812415,0.6234648815070878,0.7377563572092529,2.0912382553436872,1.4755127144185058,4.373277440612909,0.5638693364190042,0.4624317273282745,0.7441336171740338,2.104617240636988,1.4882672343480676,4.429413729586448,0.4992834249121574,0.19253964093194972,0.9203775024146984,2.510237831937248,1.8407550048293968,6.301293972889016,0.5079401155904503
2,0.3823041928217061,0.5041562347164329,1.6555880032744674,1.0083124694328658,2.740971636586338,0.5913153385820219,0.23345855849614436,0.5268030286205585,1.6935095434834262,1.053606057241117,2.8679745738694424,0.5747361818773253,0.30869711191111787,0.10635641426601068,1.112218216310965,0.2127128285320213,1.2370293606939446,0.5844128091352306,0.40938879956749646,0.2598266312848333,1.2967052590525858,0.5196532625696666,1.6814445288546338,0.600438644210774
3,0.7853814982043134,-0.5323046354908947,0.5872500117169415,-1.0646092709817894,0.34486257626154787,0.529701524033864,0.8410863039427611,-0.9026497995662144,0.4054937577244618,-1.805299599132429,0.16442518755350455,0.4667260675926889,0.15918193738824643,-0.783373919495597,0.4568619924890478,-1.566747838991194,0.2087228801810628,0.4952897294867038,0.4944514613469469,-0.8013261258898633,0.4487334922674256,-1.6026522517797266,0.2013617470825197,0.49954496638094426
4,0.1145894937669768,1.442764997723641,4.232382180261248,2.885529995447282,17.913058919792956,0.6147825278371648,0.2713709112397973,1.355538745560112,3.8788501070959183,2.711077491120224,15.045478153318015,0.5370572694271314,0.25623713218597133,1.4791554268513083,4.389237083264438,2.958310853702617,19.26540217310371,0.5768762840411438,0.16340766820769387,1.547422245829066,4.69934081066233,3.094844491658132,22.083804054756488,0.5614417526776904
5,0.3928759119370457,1.0822336937911483,2.9512644150426808,2.1644673875822966,8.70996164749722,0.6079048099278894,0.6825504662200472,1.2989062373821256,3.665285522110701,2.5978124747642517,13.434317958594312,0.5013891682134248,0.6199188777416099,1.079024662200399,2.9418088939494225,2.158049324400798,8.654239568519925,0.4934017825429888,0.48959806122810057,0.5144434103357463,1.6727072310975966,1.0288868206714925,2.797949480966188,0.6047720506796688
6,0.4591723414258848,0.1083401773672307,1.114426783681932,0.2166803547344614,1.2419470561876556,0.6947200240400659,0.3900898240291871,-0.09930120606620874,0.9054699339081388,-0.19860241213241747,0.8198758012116094,0.7023824394655311,0.4726260935017959,-0.09767513174188291,0.9069434930527726,-0.19535026348376583,0.8225464995907645,0.7746994271051272,0.6742168772430991,0.27301077388816025,1.3139144007152876,0.5460215477763205,1.7263710524070135,0.7051506336678663
7,0.2917203920262874,-0.05782897873962245,0.943811345441016,-0.1156579574792449,0.890779855783181,0.5687244189401566,0.3493227507450502,-0.4381731789155885,0.6452140357144218,-0.876346357831177,0.4163011518828912,0.5636337408689723,0.2794575185545951,0.3049236114692695,1.3565213763734856,0.609847222938539,1.840150244558216,0.5644383615553312,0.3692028115291352,0.32657881688489526,1.386217502802818,0.6531576337697905,1.921598965076881,0.509751433536381
8,0.5451262035930977,-0.45436097841450446,0.6348535234601833,-0.9087219568290088,0.4030389962498096,0.5026362068053112,0.45815603111681,-0.5729096536461282,0.5638823471177651,-1.1458193072922565,0.31796330139103973,0.4923511845536985,0.5351968855168792,-0.2247055321200784,0.7987513907609992,-0.4494110642401568,0.6380037842426305,0.6341297114151605,0.8300794783240204,-0.831080830206654,0.4355782456846194,-1.662161660413308,0.18972840811369063,0.6734067118097383
9,0.42946035397517074,0.9591720078482746,2.609534904245084,1.9183440156965488,6.809672416473401,0.4852176535170915,0.4168509119439006,1.2560769729430437,3.5116182564103293,2.5121539458860878,12.331462778754322,0.5732520588120678,0.2722494505885403,1.322331713775712,3.752160148652024,2.644663427551424,14.078705781132378,0.5243773035144492,0.3909065743952864,1.5389534059472605,4.659710892361758,3.077906811894521,21.71290560039481,0.5452363245429398
10,0.3086861555674459,0.5385187708283783,1.71346694432649,1.0770375416567566,2.9359689692995588,0.5878001075954655,0.3591734396737048,0.9057679540508426,2.473830982292976,1.8115359081016853,6.11983972895263,0.532817515867661,0.5217530528726719,0.6407353485699303,1.8978759666823375,1.2814706971398606,3.601933184910418,0.5398488736688368,0.1958985675048594,0.8316251035814478,2.297048650686901,1.6632502071628956,5.276432503622515,0.5223706798678391
11,0.3916710101787286,0.8586497345573296,2.3599719527934173,1.7172994691146592,5.569467617971576,0.548717130091504,0.6596839050730269,1.0459742917018109,2.8461701732166422,2.0919485834036218,8.10068465490805,0.536572038785891,0.7041909357213683,0.4503601692845277,1.5688771451023753,0.9007203385690554,2.4613754964245795,0.6962783550666277,0.4274328175729298,0.367098223856442,1.4435397021883,0.734196447712884,2.0838068717938856,0.5372346990154758
12,0.8253846338952981,-1.2084486893925264,0.29866023503371186,-2.4168973787850527,0.08919793599039201,0.538524707683864,0.4378920694317262,-0.35266703057193294,0.7028111690547053,-0.7053340611438659,0.4939435393480416,0.5965842145562117,0.2640679942125623,-0.14531967290550374,0.8647458131149134,-0.2906393458110075,0.7477853212997727,0.5906180329238728,0.7642916591628595,0.26692500423080906,1.3059425024955198,0.5338500084616181,1.7054858198242608,0.18714015718530916
13,0.314767193366859,-0.20569985131838137,0.8140773838702907,-0.41139970263676273,0.6627219869290967,0.5593534440931608,0.48979620764890014,0.4786084711651254,1.613827151982295,0.9572169423302508,2.6044380764752866,0.5160821855782203,0.40866256300511,-0.0841798347421806,0.91926592527879,-0.1683596694843612,0.8450498413786698,0.5550313802226621,0.27727701463283067,0.042838611398753,1.043769428768592,0.085677222797506,1.089454620431913,0.5290484444402568
