subject,PANAS_AR1,PANAS_LOGSIGMA,PANAS_SIGMA,PANAS_LOGVAR,PANAS_VAR,PANAS_MEAN
1,0.3443447564703266,0.6499022869357689,1.915353664794177,1.2998045738715378,3.668579661240484,0.5580308359542971
2,0.1388773787969603,0.30755083305848563,1.3600899442764376,0.6151016661169713,1.8498446565218831,0.5113858319180445
3,0.43531560755252185,0.12286297179823258,1.1307294685055498,0.2457259435964652,1.278549130946843,0.6504563224217579
4,0.42169580812493007,-0.29781822409590974,0.7424362845093959,-0.5956364481918195,0.5512116365561167,0.7314309814117568
5,0.25659362635796146,0.5770255972239893,1.780733925861399,1.1540511944479783,3.1710133147137505,0.633583309574823
6,0.5356433944207605,0.4674004957174829,1.5958404026972883,0.934800991434966,2.546706590881044,0.602887615407152
7,0.533727284937213,0.4893175081777551,1.6312025575599087,0.9786350163555102,2.6608217837899875,0.4987705265335083
8,0.5157734801397849,0.7494902030975894,2.1159210516116778,1.4989804061951788,4.477121896653468,0.5736204357631005
9,0.545526539107535,0.4720996604515338,1.6033571670636415,0.9441993209030676,2.570754205174346,0.6569098036672082
10,0.4574605072266593,0.1944645691366449,1.214660445654352,0.3889291382732898,1.4753999982372288,0.5750585832065367
11,0.27946282199873484,0.5934282785606793,1.8101836035537284,1.1868565571213583,3.2767646785747617,0.5428419930944202
12,0.3096265049549355,0.8883859190050872,2.431202325163451,1.7767718380101745,5.910744745880171,0.5563176663811334
13,0.41297959832355857,0.03358338733964261,1.0341536754546892,0.06716677467928522,1.0694738244564426,0.6143524369007848
14,0.343363795574994,0.04498903895818379,1.0460163944164405,0.08997807791636758,1.0941502973879704,0.7890866126181388
15,0.243027524324468,0.4297036870467741,1.5368020817116004,0.8594073740935483,2.3617606383531085,0.6243444319209113
16,0.25413905811698023,0.7605040968432668,2.1393543905178243,1.5210081936865336,4.576837208227891,0.658536780584399
17,0.374266185833477,0.07344968503136451,1.0762143856165416,0.14689937006272902,1.15823740380799,0.5016437133318311
18,0.41009011427773767,-0.13385761083376657,0.8747146056198642,-0.26771522166753314,0.7651256412847146,0.6153051277600352
19,0.2889077669195137,0.3017143496163989,1.3521749222528636,0.6034286992327978,1.8283770203695375,0.603393474376209
20,0.27040792362291693,0.6615808141960993,1.9378533003625409,1.3231616283921983,3.755275413725992,0.709708722041864
21,0.23102774995808145,0.8152287066453429,2.259692419928515,1.6304574132906855,5.106209832682388,0.5533377634007146
22,0.34950246712034366,1.1092771249769426,3.032165725149745,2.2185542499538853,9.19402898477288,0.5233880373632435
23,0.2781811413219066,0.16458659912430434,1.1789056573287493,0.3291731982486087,1.3898185488817305,0.6765501671278812
24,0.2590587859635681,1.0505516703355111,2.859228034343213,2.1011033406710227,8.175184952374156,0.5908721777762055
25,0.4770173442955122,-0.4518684947761748,0.6364378591252849,-0.9037369895523496,0.405053148527976,0.6038004807216522
26,0.337962890593828,0.1371941024925353,1.1470507723277543,0.2743882049850706,1.3157254742976985,0.5405841039168053
27,0.43097328771572857,0.4016722026657038,1.4943214178066966,0.8033444053314076,2.232996499715816,0.7178017282715294
28,0.345211991017994,0.5765971941799652,1.7799712174119389,1.1531943883599305,3.16829753481494,0.7267585079582406
29,0.6366926299872029,0.4729791741544868,1.604767961978589,0.9459583483089736,2.575280211792914,0.5600195360733639
30,0.3732315286977493,0.7291475140013863,2.073312384310001,1.4582950280027729,4.298624242933222,0.5689016677370812
31,0.27643688015114887,0.5026412977471265,1.6530817906587594,1.005282595494253,2.7326794066075704,0.5634273692479039
32,0.3789024265196663,0.4835974700297052,1.6218986514202267,0.9671949400594104,2.63055523547875,0.6549454426331538
33,0.2301340146710088,0.4104725028438709,1.507529929033279,0.8209450056877419,2.2726464869310834,0.5572794643564859
34,0.4252277549130449,0.34994704821329986,1.418992408420532,0.6998940964265997,2.0135394551551014,0.5994937016827255
35,0.8799862654351875,-0.0237220155990594,0.9765571396809776,-0.0474440311981188,0.9536638470618924,0.4529648398429
36,0.3632982159301799,0.3613139905967262,1.435214033847934,0.7226279811934524,2.059839322954059,0.7779544602379099
37,0.27433860086430195,0.3809208514043922,1.4636317564271386,0.7618417028087844,2.142217918421991,0.5504881826290179
38,0.23378555667950385,-0.3293315075165669,0.7194044892167979,-0.6586630150331338,0.5175428191052819,0.4875104175349735
39,0.6310975989255683,0.34028715347974564,1.4053510840825958,0.6805743069594913,1.9750116695321271,0.7095196989286673
40,0.15894138481797665,0.34477288907024967,1.411669277736227,0.6895457781404993,1.992810149704321,0.4793932190868514
41,0.5764845199145519,0.2307829044594897,1.2595857593134094,0.4615658089189794,1.5865562850651382,0.7105126456554175
42,0.3978093490171931,-0.08907503266096495,0.9147769328518748,-0.1781500653219299,0.8368168368778837,0.5231275181226851
43,0.21741824378597752,-0.005236699952117063,0.9947769876580184,-0.010473399904234126,0.9895812551739614,0.6647460173417148
44,0.5861460034992092,0.7422397948281372,2.100635241266945,1.4844795896562744,4.412668416852637,0.4823684401001416
45,0.2467341716795588,0.3979060217627428,1.4887041175442577,0.7958120435254855,2.2162399495932266,0.6385567588437804
46,0.2805422149659916,0.671936404965465,1.9580251817202212,1.34387280993093,3.833862612250506,0.569010875377744
