subject,run,mean_mu,mean_s,mean_vmu,mean5_mu,mean5_s,mean5_vmu,mean10_mu,mean10_s,mean10_vmu,mean5_kmu,mean10_kmu,mean5_vs,mean10_vs,last_mu,last_s,last_vmu,subj_day_block
1,d1r1,0.467267452968176,-1.37254084697965,-1.81759016540653,0.529002445940737,-1.18824848265632,-1.49187845456943,0.483290122452598,-1.13767375337427,-1.4705325517032,-5.60726115005955,-5.54255370789519,-3.77390946695708,-3.6719777457678,0.533561626259593,-1.15557428947088,-1.47428748690182,55057a56fdf99b5b566a70bb_day1_block1
1,d1r2,0.500025742430262,-1.28836540970731,-1.70858811202091,0.52543782766303,-1.11684847552868,-1.79394791283614,0.475465767816745,-1.23520845370376,-1.56576920281766,-5.51567054180414,-5.58884822683768,-4.44525461293798,-4.39310300498161,0.515366328355145,-0.980328878617421,-2.10727684002831,55057a56fdf99b5b566a70bb_day1_block2
1,d2r1,0.486063044687181,-1.56890025026003,-2.77366159127396,0.421814228497159,-1.57919714271088,-3.12964045426967,0.408238765411613,-2.35744393860119,-2.83454367025073,-0.821100094652412,-1.93037646504832,0.0580955691648571,-0.246992020343028,0.401574779263511,-1.61710955057911,-3.52525341681723,55057a56fdf99b5b566a70bb_day2_block1
1,d2r2,0.509257025534027,-0.944636222107587,-3.32119310377235,0.469738669767614,-0.85072198525882,-3.2908582232515,0.452437083518206,-0.920745178409801,-3.14716358959579,-4.75380639028325,-4.72458829557547,-4.32218762895331,-4.22497658926738,0.462597762266021,-0.753000665286603,-3.6198440300157,55057a56fdf99b5b566a70bb_day2_block2
2,d1r1,0.597649282786941,-1.17121213598636,-4.1814831986723,0.605494768427768,-1.19510038361149,-4.74208305412838,0.60557166349692,-1.19585926619614,-4.73445444963197,-5.33259450616879,-5.30787884510443,2.99329638663288,2.99710376678182,0.605107766394259,-1.0852737315405,-4.73675021051837,56f81ffe1b99b8000636b9c8_day1_block1
2,d1r2,0.585803750937879,-1.09871505479303,-4.06507019411381,0.605162452066317,-1.23836238056721,-4.72865681837814,0.605298074227723,-1.2110921148657,-4.72567802398447,-5.31087153712654,-5.29149276964801,2.68047159815884,2.7284542562154,0.605280604606182,-1.0845789366738,-4.7365383343593,56f81ffe1b99b8000636b9c8_day1_block2
2,d2r1,0.58320018698007,-1.53254146464603,-4.11623812562936,0.605427736486136,-2.21351996568807,-4.72650135257894,0.605477143521735,-2.15767427416578,-4.72576018514959,-5.2874843949119,-5.27559184702321,0.659236094526344,0.935610184271919,0.605022589678261,-0.926090582839183,-4.71606405332491,56f81ffe1b99b8000636b9c8_day2_block1
2,d2r2,0.602668699857582,-1.51452173995778,-4.32660583391641,0.605483571974057,-1.59410273105834,-4.72946716134425,0.604921088643535,-1.33568578599718,-4.70376909485982,-5.3292486165024,-5.28864639917776,1.4331734694749,1.50561204966947,0.605555562706518,-1.65324454228653,-4.74422464067696,56f81ffe1b99b8000636b9c8_day2_block2
3,d1r1,0.534946765773371,-2.44378720033358,-3.28700953081176,0.406807952777262,-3.09695908410166,-2.15698312408806,0.422579468021851,-2.61021255404727,-2.24927258142514,-5.25284047747285,-4.86481396647222,-1.11693688843147,-1.20621470018825,0.455768023116057,-2.29499019671061,-2.02822231756702,575b2b408b705300078ae5e6_day1_block1
3,d1r2,0.465517869892957,-2.14598284022183,-3.56292121975374,0.455376329581507,-2.50416674651848,-2.25575242847145,0.424955258217408,-2.99023392401295,-2.5591272678579,-4.38506274312381,-4.08468744560929,-1.469114942072,-1.51123942775305,0.478730617031766,-2.05383131505632,-2.15740295618008,575b2b408b705300078ae5e6_day1_block2
3,d2r1,0.48416297070398,-1.80859763804515,-4.35046920298982,0.464742654947468,-1.8901576252009,-4.72147824872588,0.464672880627151,-1.88178784902529,-4.7170342330026,-5.31977738210407,-5.29937557444773,-4.6773024066302,-4.66165189406626,0.464777518319215,-1.89572492811566,-4.72453327831413,575b2b408b705300078ae5e6_day2_block1
3,d2r2,0.462025886404247,-1.78590273647247,-4.04441609957812,0.466683054193124,-1.84606942078076,-4.57639475854558,0.46681074296869,-1.83695702670979,-4.56106602426888,-5.14009968636478,-5.11909975974261,-4.61314060655887,-4.59501030633947,0.466600288784937,-1.85300707236906,-4.58667892609624,575b2b408b705300078ae5e6_day2_block2
4,d1r1,0.76988980890489,-0.613237257316873,-3.72643678049708,0.69006126686275,0.135699126387208,-4.11869187468768,0.698582889068071,0.138166140839751,-4.10741023826485,-4.99332277954405,-5.02480788709284,-4.49146518004506,-4.52671822436338,0.683575799935154,0.114273561555595,-4.19290566343573,590741365905400001ef09ec_day1_block1
4,d1r2,0.59969448835038,-0.314908588540619,-2.74109441756495,0.597729026531155,-0.0951973901311928,-3.58825582744123,0.552774644551678,-0.131128269967802,-3.31996968835009,-5.06211099871112,-5.04056770891642,-4.606703627109,-4.57996467858453,0.609901700941438,-0.0620908327262391,-3.84674413879567,590741365905400001ef09ec_day1_block2
4,d2r1,0.637818147954992,-0.230280383315843,-2.51340119416521,0.603102372970236,0.0625873888239668,-2.68224206431484,0.541532566612908,0.0213645211716216,-2.34554330933455,-5.096126613198,-5.09686441562941,-4.59263857673192,-4.56126672517068,0.579692883483284,0.0940962370064272,-2.96568686215028,590741365905400001ef09ec_day2_block1
